endereco,valor,area,iptu,condominio,quarto,vaga,banheiro,bairro,tipo,area_servico,espaco_gourmet,piscina,elevador,salao_de_festa,academia,playground,quadra_de_esporte,portaria_24_horas,varanda_gourmet,sauna,spa,comercio,latitude,longitude
Area Rural do Paranoa,590000,20000,NA,NA,3,NA,2,area_rural_do_paranoa,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.7755299999999,-47.78117
QS,290000,152,1,NA,3,4,3,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.77829,-47.92909
QS 11 Conjunto S,270000,147,200,NA,3,4,2,areal,casas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8685408849894,-48.0171630102416
QS 11 Conjunto P,249000,147,500,NA,3,2,2,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8699149243967,-48.0160073599258
QS 11 Conjunto A,169000,147,400,NA,3,4,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.871860682152,-48.0182496884993
QS 8 Conjunto 210A,260000,70,456,NA,2,3,2,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.861634724311,-48.0256052892945
QS 10 Conjunto 220D,245000,128,500,NA,4,2,3,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.867241845523,-48.0223318071728
QS 7 Rua 218 A,799000,200,542,NA,5,4,5,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8648999993992,-48.0256050070867
QS 6,350000,160,300,NA,6,NA,5,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8593958505273,-48.0283532856083
QS 11,260000,147,NA,NA,2,3,2,areal,casas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8696599983935,-48.0169799868096
QS 11 Conjunto B,310000,152,NA,NA,3,3,3,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8692467022671,-48.0200876650347
QS 6 Conjunto 420B,650000,128,NA,NA,4,6,4,areal,casas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8590907870704,-48.0254495865539
QS,360000,128,NA,NA,2,3,2,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.77829,-47.92909
QS 7 Rua 218 A,550000,150,NA,NA,3,3,2,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8648999993992,-48.0256050070867
QS 8 Conjunto 430B,240000,130,NA,NA,2,1,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8625482265663,-48.0233161568056
QS 11 Conjunto T,360000,150,NA,NA,5,NA,5,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8691110117413,-48.0165707396011
QS 5,299000,72,NA,500,2,1,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8532451586384,-48.0374485338856
Areal,590000,290,NA,NA,4,1,5,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8542450079016,-48.0310849696543
QS 5 Rua 840,519000,112,800,NA,2,2,2,areal,casas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8543799984522,-48.0369399804794
QS 5,240000,240,1,1,1,NA,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8532451586384,-48.0374485338856
QS 7 Rua 218 A,1150000,400,600,NA,4,4,6,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8648999993992,-48.0256050070867
QS 5 Rua 866,450000,150,NA,NA,2,2,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8542199879206,-48.0375299826439
QS 8 Conjunto 630B,559000,228,NA,NA,3,3,4,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-15.8625916592205,-48.0226857534378
QS 11 Conjunto T,550000,256,NA,NA,4,1,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8691110117413,-48.0165707396011
QS 11 Conjunto A,450000,115,800,NA,3,1,1,areal,casas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.871860682152,-48.0182496884993
QS 5 Rua 826,550000,310,NA,NA,4,3,3,areal,casas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8529590971382,-48.0368764443177
QS 8,569000,128,NA,NA,3,3,5,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8624649936624,-48.0248000091057
Areal,500000,100,400,NA,3,3,2,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8542450079016,-48.0310849696543
Areal,540000,200,NA,NA,3,4,2,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8542450079016,-48.0310849696543
QS 7 Rua 210,410000,100,461,NA,2,4,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8645686924504,-48.0254879559427
Areal,790000,329,NA,NA,4,4,2,areal,casas,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-15.8542450079016,-48.0310849696543
QS 8,550000,98,500,NA,4,2,3,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8624649936624,-48.0248000091057
QS 11 Conjunto T,550000,256,NA,NA,4,1,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8691110117413,-48.0165707396011
QS 11 Conjunto T,550000,256,NA,NA,4,1,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8691110117413,-48.0165707396011
Areal,630000,200,NA,NA,4,1,2,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-15.8542450079016,-48.0310849696543
QS 8 Conjunto 630B,600000,146,486,NA,2,4,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8625916592205,-48.0226857534378
QS 11 Conjunto T,550000,256,NA,NA,4,1,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8691110117413,-48.0165707396011
QS 11 Conjunto T,550000,256,NA,NA,4,1,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8691110117413,-48.0165707396011
QS 11 Conjunto T,550000,256,NA,NA,3,1,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8691110117413,-48.0165707396011
QS 11 Conjunto Q,560000,165,240,NA,3,4,3,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8702221099151,-48.0159589596728
QS 11 Conjunto T,550000,256,NA,NA,4,1,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8691110117413,-48.0165707396011
QS 11 Conjunto T,550000,256,NA,NA,4,1,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8691110117413,-48.0165707396011
QS 11 Conjunto T,550000,256,NA,NA,4,1,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8691110117413,-48.0165707396011
QS 11 Conjunto T,550000,256,NA,NA,4,1,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8691110117413,-48.0165707396011
QS 11 Conjunto T,550000,256,NA,NA,4,1,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8691110117413,-48.0165707396011
QS 11 Conjunto T,550000,256,NA,NA,4,1,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8691110117413,-48.0165707396011
Avenida Águas Claras QS 02,289900,138,NA,NA,2,2,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8702033696226,-48.027149594329
QS 11 Conjunto T,550000,256,NA,NA,3,1,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8691110117413,-48.0165707396011
QS 11 Conjunto T,550000,256,NA,NA,4,1,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8691110117413,-48.0165707396011
QS 11 Conjunto T,550000,256,NA,NA,4,1,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8691110117413,-48.0165707396011
QS 11 Conjunto T,550000,256,NA,NA,4,1,1,areal,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.8691110117413,-48.0165707396011
Quadra 1 Conjunto H,230000,263,NA,NA,5,NA,3,arapoanga,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.75110113894,-47.768181076028696
Arapoanga,330000,200,NA,NA,2,NA,1,arapoanga,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.64071,-47.6391
Quadra 11 Conjunto H,400000,200,NA,NA,4,NA,2,arapoanga,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.6416900016562,-47.7860350011783
Arapoanga,450000,200,NA,NA,4,NA,1,arapoanga,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.64071,-47.6391
Quadra 10E Conjunto A,450000,700,NA,NA,3,2,2,arapoanga,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.6336899989441,-47.6377349941236
Quadra 1 Conjunto L,250000,450,NA,NA,4,20,1,arapoanga,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.749861776933,-47.769096594117
Arapoanga,155000,200,NA,NA,2,NA,1,arapoanga,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-15.64071,-47.6391
