endereco,valor,area,iptu,condominio,quarto,vaga,banheiro,bairro,tipo,area_servico,espaco_gourmet,piscina,elevador,salao_de_festa,academia,playground,quadra_de_esporte,portaria_24_horas,varanda_gourmet,sauna,spa,comercio,latitude,longitude
Rua Sargento Wolff,398000,231,153,NA,4,2,4,afogados,casas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.07092177363973,-34.911249043498
Rua Terezinha Lima,460000,250,2000,NA,4,4,3,afogados,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.08240284816994,-34.9202319470704
Rua Carvalho de Mendonça,250000,100,120,NA,3,2,2,afogados,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.0791998758524,-34.9128751547857
Rua Lídia Guimarães,530000,198,1600,NA,5,3,3,afogados,casas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.07507051178886,-34.914778824882
Rua Lídia Guimarães,550000,197,1604,NA,4,3,3,afogados,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.07507051178886,-34.914778824882
Afogados,310000,180,NA,NA,4,3,1,afogados,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.08027999999996,-34.91133
Rua Terezinha Lima,450000,260,2368,1,4,6,4,afogados,casas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.08240284816994,-34.9202319470704
Rua Feliciano de Mello,350000,100,300,NA,3,2,2,afogados,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.0767637541421,-34.9168163928785
Rua Santo Cristo,220000,125,66,NA,2,1,2,afogados,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.08207976332304,-34.913628476521
Rua Lídia Guimarães,750000,300,1765,NA,3,2,2,afogados,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.07507051178886,-34.914778824882
Rua Terezinha Lima,300000,280,NA,NA,3,3,1,afogados,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.08240284816994,-34.9202319470704
Rua Lídia Guimarães,530000,197,1,NA,4,3,1,afogados,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.07507051178886,-34.914778824882
Rua Luiz Pereira de Farias,700000,450,NA,NA,4,3,4,afogados,casas,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.0825964378412,-34.9185285909532
Rua Demócrito Cavalcanti,260000,97,NA,NA,4,2,2,afogados,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.0738997180076,-34.9062615361671
Rua Jandaia,300000,150,1387,NA,4,2,1,afogados,casas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-8.07172288700412,-34.9130284760326
Afogados,540000,235,NA,NA,3,3,3,afogados,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.08027999999996,-34.91133
Rua Coronel Alfredo Duarte,820000,411,440,NA,4,6,3,afogados,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.07025817047188,-34.9117258191166
Rua Sargento Wolff,1000000,600,NA,NA,4,4,4,afogados,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.07092177363973,-34.911249043498
Rua Firmino de Figueiredo,349000,100,NA,NA,3,1,2,afogados,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.07469756811303,-34.9060846345378
Afogados,350000,200,NA,NA,3,8,3,afogados,casas,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.08027999999996,-34.91133
Rua Doutor Odilon Lima,200000,84,NA,NA,2,1,1,afogados,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.07985573147217,-34.9156051204118
Rua Ursulino Pinto de Carvalho,170000,100,NA,NA,2,NA,2,afogados,casas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.07651579981038,-34.9083486326122
Rua Olegário Mariano,660000,191,2340,NA,3,5,2,afogados,casas,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.08162438112381,-34.9221452548867
Rua Feliciano de Mello,350000,74,1100,NA,3,1,2,afogados,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.0767637541421,-34.9168163928785
